customer_id,account_id,account_type,account_open_date,kyc_verified_status,customer_age,customer_occupation,customer_income_range,customer_risk_category,credit_score,average_monthly_balance,is_mule_account
CUST00001,ACC00001,Current,2025-09-09,Verified,36,Unemployed,Low,Medium,444,12472,1
CUST00002,ACC00002,Current,2026-02-13,Verified,42,Business,Medium,Medium,392,12184,1
CUST00003,ACC00003,Savings,2025-09-29,Verified,18,Engineer,Low,Medium,569,19602,1
CUST00004,ACC00004,Savings,2026-02-15,Pending,27,Unemployed,Medium,Medium,453,7188,1
CUST00005,ACC00005,Savings,2025-12-31,Verified,42,Unemployed,Low,High,508,2215,1
CUST00006,ACC00006,Current,2025-10-30,Verified,58,Freelancer,Low,High,468,1452,1
CUST00007,ACC00007,Savings,2025-12-27,Pending,35,Unemployed,Medium,High,511,6951,1
CUST00008,ACC00008,Current,2025-11-20,Pending,22,Teacher,Low,Medium,392,7653,1
CUST00009,ACC00009,Savings,2026-01-02,Pending,22,Engineer,Low,High,367,1081,1
CUST00010,ACC00010,Current,2025-11-17,Verified,34,Teacher,Medium,Medium,351,6525,1
CUST00011,ACC00011,Savings,2025-10-02,Verified,21,Engineer,Low,High,356,11530,1
CUST00012,ACC00012,Current,2026-02-14,Verified,37,Unemployed,Low,High,391,4401,1
CUST00013,ACC00013,Current,2025-09-01,Verified,65,Teacher,Low,Medium,425,19369,1
CUST00014,ACC00014,Savings,2025-12-30,Pending,34,Freelancer,Low,Medium,428,6008,1
CUST00015,ACC00015,Savings,2025-09-12,Verified,24,Engineer,Low,High,324,2038,1
CUST00016,ACC00016,Savings,2026-02-21,Verified,65,Student,Low,High,483,10592,1
CUST00017,ACC00017,Savings,2025-12-24,Verified,51,Unemployed,Low,Medium,515,19806,1
CUST00018,ACC00018,Current,2026-02-07,Verified,20,Freelancer,Low,Medium,312,3488,1
CUST00019,ACC00019,Savings,2025-09-29,Verified,20,Freelancer,Medium,Medium,345,12778,1
CUST00020,ACC00020,Current,2026-02-01,Verified,63,Unemployed,Low,High,405,10067,1
CUST00021,ACC00021,Current,2026-01-07,Pending,30,Unemployed,Low,High,562,12937,1
CUST00022,ACC00022,Current,2025-09-18,Verified,21,Teacher,Low,Medium,443,7463,1
CUST00023,ACC00023,Current,2025-12-13,Verified,24,Teacher,Low,High,511,5157,1
CUST00024,ACC00024,Current,2025-10-11,Pending,34,Student,Medium,High,391,6836,1
CUST00025,ACC00025,Savings,2025-11-05,Verified,42,Engineer,Medium,High,582,6019,1
CUST00026,ACC00026,Savings,2026-01-03,Pending,58,Teacher,Medium,Medium,597,9742,1
CUST00027,ACC00027,Savings,2026-02-27,Verified,32,Freelancer,Low,Medium,380,13261,1
