device_id,account_id,device_type,device_os,device_model,vpn_usage_flag,device_trust_score
D2619,A0,Mobile,Android,each,False,0.8123620356542087
D3037,A1,Laptop,Android,history,False,0.9852142919229748
D914,A2,Mobile,Windows,market,False,0.9195981825434215
D419,A3,Mobile,Windows,price,False,0.8795975452591109
D1728,A4,Mobile,Android,sea,False,0.7468055921327309
D383,A5,Mobile,Android,partner,False,0.7467983561008608
D2069,A6,Mobile,Windows,follow,False,0.7174250836504598
D814,A7,Laptop,Android,successful,False,0.9598528437324805
D1839,A8,Laptop,Android,cost,False,0.8803345035229626
D3108,A9,Mobile,Windows,provide,False,0.9124217733388136
D1731,A10,Laptop,iOS,party,False,0.7061753482887407
D636,A11,Mobile,iOS,your,False,0.9909729556485982
D418,A12,Mobile,iOS,star,False,0.9497327922401265
D396,A13,Laptop,iOS,hotel,False,0.7637017332034828
D2472,A14,Laptop,Android,billion,False,0.7545474901621302
D2988,A15,Laptop,Windows,billion,False,0.7550213529560301
D511,A16,Laptop,Android,anyone,False,0.7912726728878613
D2261,A17,Laptop,Windows,if,False,0.8574269294896714
D2533,A18,Laptop,Windows,could,False,0.8295835055926347
D787,A19,Mobile,Android,real,False,0.7873687420594125
D2708,A20,Mobile,iOS,each,False,0.8835558684167139
D326,A21,Mobile,Android,instead,False,0.7418481581956126
D1556,A22,Laptop,iOS,wait,False,0.7876433945605654
D2603,A23,Laptop,Android,remember,False,0.8099085529881075
D1516,A24,Laptop,Android,friend,False,0.8368209952651108
D2745,A25,Laptop,Windows,life,False,0.935552788417904
D3836,A26,Mobile,Windows,nothing,False,0.7599021346475079
D2600,A27,Mobile,Windows,money,False,0.8542703315240835
D2986,A28,Mobile,Android,program,False,0.8777243706586128
D1893,A29,Laptop,iOS,job,False,0.7139351238159993
D3790,A30,Mobile,Windows,out,False,0.8822634555704315
D1328,A31,Mobile,Android,growth,False,0.7511572371061874
D3366,A32,Mobile,iOS,ahead,False,0.7195154778955838
D1643,A33,Laptop,Android,nothing,False,0.984665661176
D864,A34,Laptop,Android,help,False,0.9896896099223678
D2684,A35,Laptop,iOS,stay,False,0.9425192044349383
D3623,A36,Laptop,Android,add,False,0.7913841307520112
D1084,A37,Mobile,Android,however,False,0.7293016342019151
D3051,A38,Laptop,Windows,enter,False,0.905269907953647
D2394,A39,Laptop,Windows,person,False,0.8320457481218804
D1635,A40,Laptop,Android,at,False,0.7366114704534336
D566,A41,Laptop,Android,continue,False,0.848553073033381
D3095,A42,Mobile,Android,word,False,0.7103165563345655
D626,A43,Mobile,Windows,require,False,0.9727961206236346
D1729,A44,Mobile,iOS,player,False,0.777633994480005
D1563,A45,Laptop,Windows,five,False,0.8987566853061946
D1029,A46,Mobile,Windows,together,False,0.7935133228268233
D2952,A47,Mobile,Windows,cold,False,0.8560204063533432
D3624,A48,Laptop,Windows,easy,False,0.8640130838029838
D1393,A49,Mobile,iOS,if,False,0.7554563366576581
D1780,A50,Mobile,iOS,generation,False,0.9908753883293675
D13,A51,Laptop,Windows,out,False,0.9325398470083344
D3120,A52,Mobile,Windows,others,False,0.9818496824692567
D3738,A53,Mobile,Windows,value,False,0.9684482051282947
D1222,A54,Mobile,Android,feel,False,0.8793699936433255
D1531,A55,Mobile,Windows,official,False,0.976562270506935
D3905,A56,Mobile,Windows,water,False,0.7265477506155759
D1327,A57,Laptop,Android,write,False,0.7587948587257435
D458,A58,Laptop,iOS,team,False,0.7135681866731614
D980,A59,Mobile,Android,through,False,0.7975990992289793
D3596,A60,Mobile,Android,bad,False,0.8166031869068446
D2997,A61,Laptop,Android,help,False,0.7814047095321688
D3115,A62,Mobile,Android,born,False,0.9486212527455788
D2702,A63,Laptop,Windows,point,False,0.8070259980080767
D676,A64,Laptop,Windows,rest,False,0.7842803529062142
D3573,A65,Laptop,Android,stock,False,0.8628088249474746
D3804,A66,Mobile,Windows,understand,False,0.7422772674924287
D1276,A67,Laptop,Windows,sport,False,0.9406590942262119
D2661,A68,Laptop,iOS,view,False,0.7223651931039312
D3684,A69,Laptop,Android,open,False,0.9960660809801551
D1015,A70,Mobile,Android,everybody,False,0.9316734307889972
D1384,A71,Mobile,Windows,personal,False,0.7596147044602517
D2268,A72,Mobile,Windows,side,False,0.7016566351370807
D902,A73,Mobile,Android,where,False,0.9446384285364502
D2899,A74,Mobile,Android,change,False,0.9120572031542851
D276,A75,Mobile,iOS,from,False,0.9187021504122962
D290,A76,Mobile,iOS,south,False,0.9313811040057838
D2740,A77,Laptop,Android,difference,False,0.7222133955202271
D2208,A78,Mobile,Windows,guy,False,0.8075397185632818
D3831,A79,Laptop,Android,fill,False,0.7347607178575388
D3213,A80,Laptop,iOS,health,False,0.958931027762678
D779,A81,Mobile,Android,important,False,0.8869894380482674
D2699,A82,Laptop,iOS,learn,False,0.7992694074557947
D1734,A83,Laptop,iOS,issue,False,0.7190675050858071
D3538,A84,Mobile,Windows,set,False,0.7932946965146986
D2676,A85,Mobile,Android,back,False,0.7975549966080241
D1649,A86,Laptop,Android,life,False,0.9188818535014192
D1018,A87,Mobile,Android,training,False,0.8912672414065639
D2196,A88,Laptop,Android,indicate,False,0.9661638227728979
D1728,A89,Mobile,iOS,that,False,0.8416644775485848
D1894,A90,Mobile,Android,need,False,0.7358782737814905
D1815,A91,Mobile,Android,blue,False,0.9139734361668985
D2671,A92,Mobile,Android,south,False,0.9282355145850693
D3794,A93,Mobile,Android,research,False,0.8683831592708489
D1664,A94,Laptop,iOS,cut,False,0.9312901539863683
D875,A95,Laptop,Android,but,False,0.8481386789093173
D674,A96,Laptop,Android,great,False,0.8568198488145982
D1599,A97,Laptop,iOS,goal,False,0.8282623055075649
D1168,A98,Laptop,Windows,behind,False,0.7076257380232285
D3921,A99,Laptop,Android,field,False,0.7323674280979913
D777,A100,Laptop,Android,tree,False,0.7094287557060203
D3967,A101,Mobile,Windows,news,False,0.8909231233791342
D3013,A102,Mobile,Windows,want,False,0.794306794322898
D1284,A103,Mobile,Android,beat,False,0.8525712073494108
D2392,A104,Laptop,Windows,major,False,0.9722699421778279
D3765,A105,Mobile,Android,condition,False,0.7747876687446624
D3935,A106,Mobile,Android,rule,False,0.8231148769106889
D280,A107,Mobile,Windows,across,False,0.9266653415629146
D3530,A108,Mobile,iOS,society,False,0.7686394496474867
D491,A109,Mobile,Windows,meeting,False,0.7230939729486379
D2435,A110,Mobile,Windows,hard,False,0.7869254358741303
D335,A111,Laptop,Windows,service,False,0.7483663861762013
D2390,A112,Laptop,iOS,choice,False,0.9789092957027719
D836,A113,Laptop,Android,chance,False,0.9424361138693251
D1087,A114,Laptop,Android,rule,False,0.8900211269531271
D2751,A115,Laptop,iOS,science,False,0.9614381770563153
D1295,A116,Mobile,Android,church,False,0.9411016230697343
D1877,A117,Mobile,Android,participant,False,0.7559710176658108
D2202,A118,Mobile,Windows,interesting,False,0.9677676995469933
D1086,A119,Mobile,iOS,stop,False,0.8618026725746952
D3608,A120,Mobile,Android,health,False,0.9422320465492188
D1513,A121,Laptop,Android,fine,False,0.968827389977048
D1794,A122,Laptop,Windows,laugh,False,0.7954010424915592
D3305,A123,Mobile,Windows,play,False,0.733015577358303
D3346,A124,Laptop,Windows,run,False,0.7683805487625824
D424,A125,Mobile,iOS,eye,False,0.8281323365878769
D472,A126,Mobile,Windows,civil,False,0.9454044297767479
D2266,A127,Mobile,iOS,protect,False,0.958219174976903
D1154,A128,Mobile,Windows,fine,False,0.7020856391593572
D1404,A129,Mobile,Windows,however,False,0.8532241907732697
D2597,A130,Laptop,Windows,my,False,0.8252233009446337
D2001,A131,Laptop,Android,around,False,0.7666323431412191
D378,A132,Laptop,iOS,show,False,0.7359596102001048
D180,A133,Mobile,iOS,stop,False,0.8012845514210883
D3158,A134,Mobile,Windows,but,False,0.9828729111737557
D1072,A135,Mobile,Windows,writer,False,0.7969608796062265
D1809,A136,Laptop,Windows,movement,False,0.8556371865230098
D39,A137,Mobile,Android,middle,False,0.9109056876685533
D3870,A138,Mobile,Windows,director,False,0.8090888807137881
D147,A139,Laptop,Windows,area,False,0.9915346248162882
D2263,A140,Mobile,iOS,occur,False,0.9887341884826334
D522,A141,Mobile,iOS,treat,False,0.7755346887476092
D1493,A142,Mobile,iOS,town,False,0.8491745517677156
D860,A143,Mobile,Windows,each,False,0.7902634929450308
D421,A144,Laptop,Windows,because,False,0.7854521483132403
D3621,A145,Laptop,Windows,rather,False,0.7110660842063597
D3069,A146,Mobile,Android,manage,False,0.882869300193969
D3541,A147,Mobile,Android,stock,False,0.8508037069686585
D3610,A148,Laptop,Android,start,False,0.7154436253749967
D734,A149,Laptop,iOS,step,False,0.7835939392709834
D3285,A150,Mobile,iOS,little,False,0.9724797657899962
D652,A151,Mobile,iOS,court,False,0.7718685672000917
D3572,A152,Mobile,iOS,join,False,0.7434684616273669
D911,A153,Mobile,iOS,store,False,0.8468358280832688
D1432,A154,Laptop,Android,democratic,False,0.9956951362331803
D913,A155,Mobile,Windows,there,False,0.7726165814534501
D791,A156,Laptop,iOS,physical,False,0.9016406642217636
