account_id,in_degree,out_degree,betweenness,pagerank
A0,49,58,0.0006188355199367042,0.0002489450557786878
A1713,59,41,0.0005189501536673829,0.00028120969896212037
A4469,52,32,0.0003469255007491021,0.00024633155389456403
A2564,46,24,0.0002347217571217081,0.00021923154622524664
A2636,39,53,0.0004343472561351968,0.00019996871620509436
A3956,48,46,0.00045190402130222316,0.0002284302249611931
A860,43,39,0.0003661164834037266,0.0002244438631550728
A634,33,27,0.00018859192410493545,0.00016740613047740648
A1042,30,57,0.0003705503370326256,0.0001623342281592051
A1327,47,42,0.00041296466573107464,0.00022894647796551935
A1361,39,27,0.00022931113512425738,0.00021530782403501641
A3584,42,57,0.0005186561459679683,0.00021734679241917134
A319,53,47,0.0005131517606759889,0.00024900009013494344
A4056,49,51,0.0005166363069545701,0.00023088033985274635
A4297,42,59,0.0005072116442876156,0.0001935340775102637
A1145,41,34,0.00027940969238777054,0.0002085161112952413
A3271,33,31,0.00021907988000835967,0.00017854724755564844
A2430,45,25,0.0002514903135562568,0.00023662093721805498
A3567,56,42,0.0005278743637216511,0.0002959432783978175
A2220,45,26,0.00025957482815093866,0.00023146584720678726
A3044,65,52,0.0007712634903279011,0.0003211091201482845
A1159,31,53,0.00035651611359847576,0.0001669895870129109
A4286,48,53,0.0005656667147572696,0.00023940926420585362
A3041,38,38,0.00029758753266416997,0.000189511893849297
A3867,34,28,0.00020501861294976978,0.00018158461191983646
A1725,42,28,0.00027025597906194817,0.00022409529784972416
A1108,34,33,0.0002503138847206633,0.00017810104280112127
A4295,40,45,0.0003891847182191317,0.00019835291796705098
A80,41,41,0.0003642497405376732,0.00020566934162586566
A3410,35,54,0.00039462869674223287,0.00017411228908673486
A1231,50,51,0.0005193227532458478,0.00023615367156186234
A549,39,57,0.00044692460254014096,0.00019553121177394745
A2554,39,43,0.0003821690837157998,0.00020190925250365043
A1632,46,47,0.0004725647272667351,0.0002335718264207731
A4405,38,38,0.0003192050905562411,0.00019309142842360944
A2711,41,59,0.00048750353005900865,0.00020143440034610336
A500,39,44,0.0005581797322997315,0.0002094052135756504
A1281,36,51,0.00038299490572708984,0.0001867047082427269
A2870,38,31,0.00025671673473007733,0.0001970508498428412
A2825,56,35,0.00044186011373944346,0.00027294775871601043
A1578,42,31,0.00026034391755634537,0.00020855727750670411
A2328,41,33,0.0002863718148373952,0.0002042853759943523
A4787,37,48,0.00041905945928950877,0.00020928204763410806
A3008,37,36,0.0003180006158412812,0.0002149831118102269
A2086,43,58,0.000544966531528127,0.0002204801969024834
A843,54,55,0.0006549492395012473,0.0002703017535817807
A2293,49,51,0.0005304941072110587,0.0002493841134174045
A2153,38,36,0.00031182100987210465,0.0002035220164943888
A1037,38,40,0.00032901883425202037,0.00020475419050976145
A2704,41,32,0.000265383536233899,0.00020418004591422814
A3878,26,44,0.0002530759518042815,0.00014689118507379826
A1377,36,45,0.0003556028205666065,0.00018823345466571138
A1899,38,49,0.000568198665926359,0.00018568227357139772
A748,47,41,0.0004296375175299204,0.0002445911990702383
A1174,37,31,0.0002544197806176056,0.00019020773065375505
A3895,39,20,0.0001707857311582682,0.0002027076304920075
A2648,47,55,0.0005760156249397286,0.00024133778766776307
A427,52,38,0.0004383416140849593,0.00026243879658719707
A4191,35,40,0.00031073734420688386,0.000183772270864801
A1,32,58,0.00039200318565592367,0.00016488141485768385
A3484,39,22,0.00017964406319695547,0.00018503997053208156
A2679,35,45,0.0003292566546836296,0.00017364709060274552
A4099,40,23,0.00019272302496055755,0.0001975218009121928
A1972,45,43,0.000410076775083276,0.00022523644489329595
A3090,29,35,0.00021169913466596816,0.00015805682592828606
A3886,42,46,0.0004202322861885468,0.0002166168753834123
A2553,48,28,0.0003020445121783585,0.0002390905953736467
A4347,53,48,0.0005462110266404506,0.0002583337400014095
A1752,38,23,0.00019879630151995335,0.00019848941212739573
A2275,55,54,0.0005984726930438389,0.0002605075351241587
A3581,28,25,0.00016812353558173245,0.00016561083905853138
A4014,43,46,0.00042694456466461727,0.0002147496405184981
A985,40,35,0.0003066235843455058,0.00021150503661606962
A2852,39,47,0.00041210452350751083,0.0002033169579695192
A207,45,29,0.0002750925938616903,0.00022121376594004598
A3818,32,55,0.00035886371702797677,0.00015776603856350901
A3474,36,33,0.00023798370075079652,0.00017721612315683418
A4585,48,53,0.0005302725394251786,0.00023951133935052785
A3133,40,57,0.0004896527897569337,0.0002068545733045378
A1466,35,55,0.0004186909823154819,0.00017918889865362275
A1604,46,22,0.0002139910687336233,0.00023644019864122484
A2957,31,20,0.00012287521794091035,0.00015131620493794904
A45,38,32,0.000253568412841324,0.0001943734723574804
A2690,24,24,0.00012809608888353965,0.000145196478219817
A3021,42,47,0.00042181170941259227,0.00021164044814684206
A4118,37,57,0.0004456224164726679,0.00019806742700842088
A2236,44,51,0.0004912091719536217,0.00022188738634917283
A2252,44,35,0.0003513845004507838,0.00023289563088587097
A3262,38,52,0.0004262106223568319,0.00019740866482276557
A2072,31,24,0.00015544883267245565,0.00016498496107876935
A468,40,44,0.0003694981270358941,0.0002045882581123322
A3856,42,36,0.00031063872760563787,0.00021725350408438156
A4016,39,54,0.00044752030353216454,0.0002105042937295176
A312,30,33,0.00021962988756894347,0.00015795145924501464
A236,36,55,0.00040334697898513494,0.00017275948343219264
A1449,39,24,0.00021939401049916995,0.00021797326447877592
A678,41,49,0.00041042810943732374,0.0002056659598270524
A978,37,30,0.00021354268789414304,0.00018231448056925606
A3632,35,35,0.00025343473014509534,0.00017699829910370948
A2574,35,23,0.00017737747843987208,0.0001986728395279396
A4457,46,47,0.0004837563285854313,0.0002414754653185435
A1590,38,40,0.0003247689447171249,0.00019875246976868894
A2725,37,38,0.00030052734059982957,0.00019071148321039838
A1386,44,44,0.00043209361534576174,0.0002255188749957561
A4229,37,56,0.0004533881222408184,0.00019956185468070168
A3302,36,22,0.000165669994294429,0.0001824852641728201
A503,52,36,0.0003939026668047735,0.00026452376082730807
A1580,42,50,0.00047181322954978594,0.00022520316038391304
A2184,28,34,0.00020676718278099223,0.00015029464164598044
A1413,51,39,0.00042383843992972866,0.00024846784318590645
A364,42,43,0.00040025021208257535,0.00022223962712377963
A1627,36,34,0.0002740553952563008,0.00019065252602848474
A1416,43,28,0.0002678076369251198,0.00023085894557540676
A2549,34,47,0.00032575127831353524,0.00017074102328400032
A4592,33,37,0.0002693323866474435,0.00017854138085732042
A964,41,47,0.00040957914045135414,0.00021923801077616107
A3819,37,36,0.00026406534405202305,0.00017460423477952581
A2,33,35,0.00023159905417662158,0.0001545487830480833
A4638,35,40,0.00030756967227074384,0.00018903368774492014
A722,36,20,0.00016407661672755816,0.00018033566124494598
A741,37,53,0.0004190292459527531,0.00019215048839021616
A707,48,45,0.000452753116873946,0.00023544507257910156
A2600,40,36,0.0003196683894067846,0.00022061640480787426
A1387,52,24,0.00027734239332765205,0.0002608360230834684
A1781,45,42,0.00041691365552554377,0.00022734936451893466
A3771,38,42,0.00035577516237786345,0.00021179127445437073
A2021,44,23,0.00021298578624150109,0.0002035078054411948
A1565,45,45,0.00042725698261164796,0.00022029100568647913
A2543,47,57,0.0005458130166421821,0.0002291365516388292
A3107,35,21,0.0001620775164621919,0.0001849026081623346
A1458,43,55,0.0005328578394964948,0.00023883833977704616
A1150,44,24,0.0004043498396999004,0.00021682242931839359
A3391,39,36,0.00028573847976818537,0.00019899839321054494
A1542,39,43,0.0003382536932784838,0.00018935888890363618
A2416,38,28,0.0002359308938239434,0.00020023027301880166
A3601,41,45,0.0004112343265006304,0.0002084354933327156
A757,46,55,0.0005229793137456854,0.00022027589386913523
A2909,45,39,0.0003755791388752303,0.0002167002807770834
A2857,34,56,0.00041296708494995867,0.00017248442653411885
A1396,38,51,0.0004011809228799729,0.00019437932730418013
A4794,39,50,0.00039178798626632674,0.00019220346752328325
A1275,27,44,0.0002776022640103083,0.00016858393173692344
A3554,41,55,0.0004916992126204235,0.00021904896080197081
A2364,27,24,0.00013579931805018166,0.00015046963487857885
A2803,38,24,0.00021047783020248414,0.00020267399984363535
A743,43,55,0.0005479925841405892,0.0002302182499295368
A2115,44,53,0.00047380138966358085,0.00021305704486715798
A3831,39,27,0.0002304730132313522,0.00019970091966856426
A257,48,53,0.0005439464225923165,0.00023702379022957034
A4235,46,24,0.0002338600477737764,0.00022128081137027681
A3892,32,43,0.0003056951118739038,0.0001670577075376096
A3827,53,48,0.0005977613429636209,0.00027844120415794
A3,38,34,0.0003044269654439467,0.00021466710798015288
A3049,47,49,0.00046218213041277894,0.0002215120902871894
A277,49,27,0.0003231289064210413,0.0002729445086554483
A856,37,44,0.0003426291695123116,0.00019424486057234412
A64,40,24,0.0003937090295975832,0.00019923272074670614
A3452,31,35,0.00023825939881952593,0.0001736798710893464
A2741,45,51,0.0004909530348879177,0.00021625001047912576
A820,37,46,0.00037411585979834315,0.00020032344856132187
A2932,46,29,0.00028262294650109013,0.00022238795399941971
A1333,30,42,0.0002734772305941991,0.00016117573416171466
A4479,42,46,0.00043308445133062644,0.00020902875417288416
A178,36,25,0.0002048154457330199,0.00019525282157664993
A3739,41,27,0.000230310065953549,0.0001993652037253329
A1995,31,44,0.00029632332420624575,0.00017003726890114262
A3057,44,44,0.00040163393946717705,0.0002226413674181385
A3953,43,54,0.00050682547282692,0.00021613451617484835
A2459,47,41,0.0004299009983778934,0.00024302680465635508
A1919,44,43,0.00041435685205987833,0.00023129661754694124
A3448,39,49,0.0004278245971426575,0.00020931157859110876
A2206,39,22,0.00020635418541738545,0.00021095151700938799
A233,35,40,0.00047767923402182753,0.00017695106142561162
A4195,39,52,0.00044059514869849216,0.00019116433146759026
A2462,45,28,0.00027162043862089566,0.00022642531224596413
A4652,30,22,0.0001410556144675939,0.0001558415970821832
A1064,38,22,0.00018240574945038078,0.00019799039144103098
A440,38,48,0.00038167535357450994,0.0001892931288793004
A2533,42,42,0.0004255316265883905,0.00023259844433942619
A2835,45,32,0.0003139460124918613,0.00021753288652055802
A3243,38,57,0.00045704694012975385,0.0001949263035884901
A3773,38,27,0.00023837001408776138,0.0002111641314314738
A1208,36,24,0.0001962503360313203,0.00018762981080027978
A1409,39,31,0.00025345374797356096,0.00019717304701724237
A2519,40,49,0.0004671067212662364,0.0002226175300509862
A1512,40,44,0.000386172037163016,0.00021002283731053935
A4,34,52,0.00038578676124001275,0.00018089976296522427
A1665,30,42,0.00027554102033211503,0.0001600079006449273
A738,41,59,0.0005035753114855355,0.00020277225738203557
A1262,52,28,0.00031730638094634234,0.00026145185215614605
A40,48,43,0.00044330663889523015,0.0002320432506976722
A1305,43,24,0.00021341201700998626,0.0002125814587766776
A818,54,57,0.0006519409542183361,0.00026696166798896164
A4504,33,44,0.0003037564624791515,0.0001627497160531171
A1740,47,39,0.0003932336565056002,0.0002307230443116048
A3082,35,42,0.0003259438140624304,0.00019540519862929336
A1988,34,42,0.0003003640661249873,0.00016794359869482816
A3175,31,38,0.0002451116247072067,0.0001610533080500287
A2607,39,35,0.00026701549780052097,0.00019388935576020695
A3275,32,57,0.00036498103834991234,0.00016493362534726293
A2319,51,48,0.0005282988615016231,0.0002599986008318978
A3226,46,25,0.000254445242315128,0.00022993915726747868
A2841,48,58,0.0005618416027321307,0.00022624629282857244
A220,34,42,0.00029181114556841263,0.000174290955453484
A1459,36,26,0.00020527292449992526,0.00019018691185808544
A3023,47,34,0.00033194001079402504,0.00022305576321549324
A2784,43,41,0.0003642109595049763,0.00021217020555171603
A3261,31,49,0.00033068046816036467,0.00016857520938241905
A1884,41,34,0.00029665279147388345,0.0001980461353355965
A4095,40,38,0.0003258766166352266,0.00020716358797153402
A362,41,54,0.00046799303053235414,0.0002058214926380841
A2473,42,45,0.0003828069424415573,0.00020155344281496638
A760,48,42,0.0004096416707667993,0.00023352796329370967
A3146,50,56,0.0006083867285497447,0.00024510167126443624
A3487,52,33,0.00036529986834907133,0.0002617423916683226
A2334,37,41,0.00031523466144611653,0.0001880578677275094
